time_s,reference_east_m,reference_north_m,estimated_east_m,estimated_north_m,position_error_m,estimated_speed_mps,reference_speed_mps
120.1,0.0,0.0,-1.36409461661043,-0.8108680827589865,1.586903012380653,15.633822027339834,15.79
120.2,-1.5620840669803844,-0.21150703150241912,-2.740885368567433,-1.5817272613961393,1.8075054597520086,15.924230181014426,15.783888888888889
120.299,-3.124168133947268,-0.37848626835256594,-4.111898433743306,-2.3535644521091115,2.2082900572810233,15.860485095865071,15.76388888888889
120.399,-4.706627210491034,-0.5454655052027128,-5.491035565342145,-3.126763702666011,2.6978504130858516,15.761382709922096,15.903888888888888
120.499,-6.282294617162337,-0.6790488941163378,-6.868554778024304,-3.8949873904418553,3.26893887804014,15.783675957125551,15.89388888888889
120.599,-7.871545363565063,-0.8126322830299629,-8.254637939096796,-4.666479518094917,3.872841131862412,15.942821690354753,15.966944444444444
120.699,-9.47437944968571,-0.9239517735552787,-9.639147280995132,-5.437766768557566,4.516821254747846,15.7541822092588,16.044999999999998
120.8,-11.070421865947395,-1.0241393152404976,-11.04812810805555,-6.193994592507892,5.1699033452793355,15.911081870122375,16.008055555555554
120.9,-12.680047621913502,-1.0909310089891946,-12.447902711307734,-6.926223325364333,5.839908190808044,15.683397756102863,16.158055555555553
120.999,-14.303256717584029,-1.1465907553140258,-13.825238088519797,-7.639297374611942,6.510279644839185,15.649455863698682,16.226944444444445
121.099,-15.919674143422597,-1.168854653702335,-15.209166491177712,-8.37002397530972,7.2361357589778486,15.650507003053702,16.178055555555556
121.199,-17.549674908965585,-1.1911185513825289,-16.58956307900482,-9.105873061889895,7.972775783102603,15.635071897813033,16.283055555555556
121.299,-19.18646734434053,-1.1799866018343166,-17.963470099315714,-9.84799515621819,8.753861694144492,15.595462541093848,16.366944444444446
121.4,-20.83005144960144,-1.168854653702335,-19.34958208044526,-10.594956556847876,9.541655340741128,15.58406013572255,16.396944444444443
121.499,-22.473635554848848,-1.1577227034460071,-20.716730948805974,-11.311683691181088,10.304835638435998,15.600385855973379,16.441944444444445
121.599,-24.117219660096257,-1.1243268569257163,-22.094925984075957,-12.043981538746095,11.105337909414258,15.612955476160504,16.50611111111111
121.7,-25.767595435216126,-1.079799060857213,-23.48729157603472,-12.785504829918096,11.925742460829133,15.624872161349103,16.555
121.799,-27.431554550026913,-1.03527126478871,-24.85595187355304,-13.507720860056878,12.735608664432355,15.638215932315175,16.64388888888889
121.9,-29.088721994992245,-0.9684795696237819,-26.24972172315725,-14.25199213391565,13.583505754744579,15.649753242742186,16.61388888888889
122.0,-30.752681109816535,-0.9128198240070663,-27.629034275906605,-14.992394305600925,14.421913434969179,15.65966063876263,16.653055555555554
122.1,-32.43022356435874,-0.8237642318700599,-29.010161743880502,-15.73160163479082,15.295111601025216,15.670456235071548,16.761944444444445
122.2,-34.100974349015,-0.734708639024938,-30.397377644050067,-16.461391585665694,16.156892803295698,15.678938183837126,16.76611111111111
122.3,-35.785308473416165,-0.6233891484996222,-31.78574650443639,-17.1897685148989,17.042342012034883,15.677726457223438,16.85611111111111
122.4,-37.476434267662796,-0.5009377077179786,-33.17734959875227,-17.912369815548573,17.934327337150275,15.68283356207303,16.956944444444446
122.5,-39.17435173176839,-0.36735431880435354,-34.568455503857166,-18.637576583375107,18.84184974091195,15.692956437984993,17.03
